Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
L. Goretzka,Leon Goretzka,87,,91000000,"CM,CDM",CM,Germany,https://cdn.sofifa.net/players/209/658/23_60.png,,27,189,82,FC Bayern München,115000,157000000,CDM,Right,Germany,https://cdn.sofifa.net/flags/de.png,SUB,8,High,Medium,78,82,82,60
T. Courtois,Thibaut Courtois,90,,90000000,GK,GK,Belgium,https://cdn.sofifa.net/players/192/119/23_60.png,,30,199,96,Real Madrid CF,250000,191300000,GK,Left,Belgium,https://cdn.sofifa.net/flags/be.png,GK,1,Medium,Medium,84,89,75,27
N. Barella,Nicolò Barella,86,,89500000,CM,CM,Italy,https://cdn.sofifa.net/players/224/232/23_60.png,,25,172,68,Inter,110000,154400000,CM,Right,Italy,https://cdn.sofifa.net/flags/it.png,CM,18,High,High,79,76,83,73
Rodri,Rodrigo Hernández Cascante,87,,88500000,CDM,CDM,Spain,https://cdn.sofifa.net/players/231/866/23_60.png,,26,191,82,Manchester City,200000,170400000,CDM,Right,Spain,https://cdn.sofifa.net/flags/es.png,SUB,16,Medium,High,58,72,78,46
Ederson,Ederson Santana de Moraes,89,,88000000,GK,GK,Brazil,https://cdn.sofifa.net/players/210/257/23_60.png,,28,188,86,Manchester City,210000,169400000,GK,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,87,82,93,51
D. Vlahović,Dušan Vlahović,84,,86500000,ST,ST,Serbia,https://cdn.sofifa.net/players/246/430/23_60.png,,22,190,75,Juventus,140000,164400000,ST,Left,-,-,-,-,Medium,Medium,80,85,66,73
Casemiro,Carlos Henrique Venancio Casimiro,89,,86000000,CDM,CDM,Brazil,https://cdn.sofifa.net/players/200/145/23_60.png,,30,185,84,Manchester United,240000,163400000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High,63,73,75,66
J. Oblak,Jan Oblak,89,,85500000,GK,GK,Slovenia,https://cdn.sofifa.net/players/200/389/23_60.png,,29,188,87,Atlético de Madrid,100000,181700000,GK,Right,-,-,-,-,Medium,Medium,86,90,78,11
J. Tartt,Jamie Tartt,84,,85500000,ST,CAM,England,https://cdn.sofifa.net/players/269/761/23_60.png,,24,178,84,AFC Richmond,78000,179600000,ST,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Low,83,87,80,89
K. Havertz,Kai Havertz,84,,84500000,"CAM,CF,ST",CAM,Germany,https://cdn.sofifa.net/players/235/790/23_60.png,,23,189,82,Chelsea,130000,173200000,LW,Left,Germany,https://cdn.sofifa.net/flags/de.png,SUB,7,Medium,Medium,81,79,79,73
R. Lewandowski,Robert Lewandowski,91,,84000000,ST,ST,Poland,https://cdn.sofifa.net/players/188/545/23_60.png,,33,185,81,FC Barcelona,420000,172200000,ST,Right,Poland,https://cdn.sofifa.net/flags/pl.png,ST,9,High,Medium,75,91,79,90
João Cancelo,João Pedro Cavaco Cancelo,88,,82500000,"LB,RB",LB,Portugal,https://cdn.sofifa.net/players/210/514/23_60.png,,28,182,74,Manchester City,250000,152600000,LB,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,RB,20,High,Medium,85,73,85,52
J. Bellingham,Jude Bellingham,84,,81500000,"CM,LM",CM,England,https://cdn.sofifa.net/players/252/371/23_60.png,,19,186,75,Borussia Dortmund,41000,154900000,CDM,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,26,High,High,75,75,78,56
M. Maignan,Mike Maignan,87,,80000000,GK,GK,France,https://cdn.sofifa.net/players/215/698/23_60.png,,26,191,89,AC Milan,90000,142000000,GK,Right,France,https://cdn.sofifa.net/flags/fr.png,SUB,16,Medium,Medium,85,82,85,15
K. Coman,Kingsley Coman,86,,80000000,LM,LM,France,https://cdn.sofifa.net/players/213/345/23_60.png,,26,179,75,FC Bayern München,105000,138000000,RM,Right,France,https://cdn.sofifa.net/flags/fr.png,RM,11,Medium,Medium,92,77,79,70
Alisson,Alisson Ramses Becker,89,,79000000,GK,GK,Brazil,https://cdn.sofifa.net/players/212/831/23_60.png,,29,191,91,Liverpool,190000,152100000,GK,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,86,85,85,23
M. Verratti,Marco Verratti,87,,77500000,"CM,CAM",CM,Italy,https://cdn.sofifa.net/players/199/556/23_60.png,,29,165,60,Paris Saint-Germain,155000,143400000,CM,Right,Italy,https://cdn.sofifa.net/flags/it.png,CM,6,Medium,High,60,61,87,64
S. Milinković-Savić,Sergej Milinković-Savić,86,,77500000,CM,CM,Serbia,https://cdn.sofifa.net/players/223/848/23_60.png,,27,191,76,Lazio,90000,137600000,CM,Right,-,-,-,-,High,Medium,68,80,82,59
Fabinho,Fábio Henrique Tavares,87,,77000000,"CDM,CB",CDM,Brazil,https://cdn.sofifa.net/players/209/499/23_60.png,,28,188,78,Liverpool,185000,148200000,CDM,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High,66,69,78,90
T. Hernández,Theo Hernández,85,,76000000,LB,LWB,France,https://cdn.sofifa.net/players/232/656/23_60.png,,24,184,81,AC Milan,82000,134900000,LB,Left,France,https://cdn.sofifa.net/flags/fr.png,SUB,22,High,Medium,93,72,76,50
Diogo Jota,Diogo José Teixeira da Silva,85,,76000000,"CF,LW",ST,Portugal,https://cdn.sofifa.net/players/224/458/23_60.png,,25,178,73,Liverpool,170000,146300000,SUB,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,LW,19,High,High,85,83,75,69
A. Rüdiger,Antonio Rüdiger,87,,73500000,CB,CB,Germany,https://cdn.sofifa.net/players/205/452/23_60.png,,29,190,85,Real Madrid CF,250000,156200000,CB,Right,Germany,https://cdn.sofifa.net/flags/de.png,CB,2,High,High,82,53,71,40
R. Sterling,Raheem Sterling,86,,72500000,"LW,RW",LW,England,https://cdn.sofifa.net/players/202/652/23_60.png,,27,170,69,Chelsea,195000,134100000,ST,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,LW,7,High,Medium,90,80,78,70
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,,72500000,"CAM,CM",CAM,Portugal,https://cdn.sofifa.net/players/212/198/23_60.png,,27,179,69,Manchester United,190000,137800000,CAM,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,CM,11,High,High,72,86,88,90
N. Kanté,N'Golo Kanté,89,,72000000,"CDM,CM",CDM,France,https://cdn.sofifa.net/players/215/914/23_60.png,,31,168,70,Chelsea,220000,133199999,CM,Right,France,https://cdn.sofifa.net/flags/fr.png,CDM,13,Medium,High,72,66,74,54
T. Kroos,Toni Kroos,88,,72000000,CM,CM,Germany,https://cdn.sofifa.net/players/182/521/23_60.png,,32,183,76,Real Madrid CF,310000,147600000,CM,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,53,81,90,73
A. Robertson,Andrew Robertson,87,,72000000,LB,LB,Scotland,https://cdn.sofifa.net/players/216/267/23_60.png,,28,178,64,Liverpool,185000,133199999,LB,Left,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,LWB,3,High,High,80,61,81,55
M. de Ligt,Matthijs de Ligt,85,,71000000,CB,CB,Netherlands,https://cdn.sofifa.net/players/235/243/23_60.png,,22,189,89,FC Bayern München,77000,122500000,CB,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,CB,3,Medium,High,75,59,61,40
P. Dybala,Paulo Dybala,86,,69500000,"CF,CAM",CAM,Argentina,https://cdn.sofifa.net/players/211/110/23_60.png,,28,177,75,Roma,130000,118200000,RF,Left,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,21,High,Low,80,85,85,84
M. ter Stegen,Marc-André ter Stegen,88,,68500000,GK,GK,Germany,https://cdn.sofifa.net/players/192/448/23_60.png,,30,187,85,FC Barcelona,210000,145600000,GK,Right,Germany,https://cdn.sofifa.net/flags/de.png,SUB,12,Medium,Medium,86,85,87,25
M. Škriniar,Milan Škriniar,86,,68500000,CB,CB,Slovakia,https://cdn.sofifa.net/players/232/363/23_60.png,,27,188,80,Inter,105000,118200000,CB,Right,-,-,-,-,Low,High,78,41,57,56
João Félix,João Félix Sequeira,84,,68500000,"CF,ST",CAM,Portugal,https://cdn.sofifa.net/players/242/444/23_60.png,,22,181,72,Atlético de Madrid,78000,154100000,ST,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,23,Medium,Medium,83,80,81,68
R. Lukaku,Romelu Lukaku,86,,68000000,ST,ST,Belgium,https://cdn.sofifa.net/players/192/505/23_60.png,,29,191,94,Inter,200000,0,ST,Left,Belgium,https://cdn.sofifa.net/flags/be.png,ST,9,Medium,Low,80,85,75,88
P. Schick,Patrik Schick,85,,67500000,ST,ST,Czech Republic,https://cdn.sofifa.net/players/234/236/23_60.png,,26,191,86,Bayer 04 Leverkusen,95000,119800000,ST,Left,Czech Republic,https://cdn.sofifa.net/flags/cz.png,SUB,6,High,Medium,78,83,71,67
F. Chiesa,Federico Chiesa,84,,66500000,LW,RM,Italy,https://cdn.sofifa.net/players/235/805/23_60.png,,24,175,70,Juventus,140000,126400000,SUB,Right,Italy,https://cdn.sofifa.net/flags/it.png,RW,14,High,Medium,91,81,76,62
Rafael Leão,Rafael da Conceição Leão,84,,66500000,"LW,LM",LW,Portugal,https://cdn.sofifa.net/players/241/721/23_60.png,,23,188,81,AC Milan,90000,126400000,LW,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,15,Medium,Low,91,77,73,63
F. Valverde,Federico Valverde,84,,66000000,"CM,RW",CM,Uruguay,https://cdn.sofifa.net/players/239/053/23_60.png,,23,182,78,Real Madrid CF,175000,148500000,SUB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,High,87,74,80,59
F. Wirtz,Florian Wirtz,82,,66000000,"CAM,CM",CAM,Germany,https://cdn.sofifa.net/players/256/630/23_60.png,,19,176,72,Bayer 04 Leverkusen,38000,125400000,RES,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,78,73,80,60
A. Laporte,Aymeric Laporte,86,,64500000,CB,CB,Spain,https://cdn.sofifa.net/players/212/218/23_60.png,,28,191,85,Manchester City,195000,124200000,CB,Left,Spain,https://cdn.sofifa.net/flags/es.png,CB,15,Medium,Medium,61,50,72,44
K. Benzema,Karim Benzema,91,,64000000,"CF,ST",CF,France,https://cdn.sofifa.net/players/165/153/23_60.png,,34,185,81,Real Madrid CF,450000,131199999,CF,Right,France,https://cdn.sofifa.net/flags/fr.png,ST,19,Medium,Medium,80,88,83,84
M. Ødegaard,Martin Ødegaard,84,,63500000,"CAM,CM",CAM,Norway,https://cdn.sofifa.net/players/222/665/23_60.png,,23,178,68,Arsenal,105000,125400000,CAM,Left,Norway,https://cdn.sofifa.net/flags/no.png,CM,10,High,Medium,76,75,86,63
T. Müller,Thomas Müller,87,,63000000,"CAM,CF",CAM,Germany,https://cdn.sofifa.net/players/189/596/23_60.png,,32,185,76,FC Bayern München,115000,104000000,CAM,Right,Germany,https://cdn.sofifa.net/flags/de.png,CAM,13,High,High,69,84,83,70
S. Tonali,Sandro Tonali,84,,62500000,"CDM,CM",CDM,Italy,https://cdn.sofifa.net/players/241/096/23_60.png,,22,181,79,AC Milan,75000,118800000,CM,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High,81,73,81,64
M. Diaby,Moussa Diaby,84,,61500000,"RM,LM,LW",RM,France,https://cdn.sofifa.net/players/241/852/23_60.png,,22,171,67,Bayer 04 Leverkusen,70000,109200000,RM,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Low,93,73,75,50
J. Sancho,Jadon Sancho,84,,61500000,"LW,RW,LM",CAM,England,https://cdn.sofifa.net/players/233/049/23_60.png,,22,180,76,Manchester United,155000,121500000,LM,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,17,High,Medium,81,74,81,74
D. Núñez,Darwin Núñez,82,,61500000,"ST,LW",ST,Uruguay,https://cdn.sofifa.net/players/253/072/23_60.png,,23,186,80,Liverpool,120000,126100000,ST,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,High,89,82,68,78
A. Tchouaméni,Aurélien Tchouaméni,82,,61500000,"CM,CDM",CDM,France,https://cdn.sofifa.net/players/241/637/23_60.png,,22,187,81,Real Madrid CF,145000,138400000,CDM,Right,France,https://cdn.sofifa.net/flags/fr.png,SUB,8,Medium,High,70,70,79,55
A. Bastoni,Alessandro Bastoni,84,,60500000,CB,CB,Italy,https://cdn.sofifa.net/players/237/383/23_60.png,,23,190,75,Inter,75000,111900000,CB,Left,Italy,https://cdn.sofifa.net/flags/it.png,CB,23,Medium,High,73,35,69,47
A. Davies,Alphonso Davies,84,,60500000,"LB,LM",LM,Canada,https://cdn.sofifa.net/players/234/396/23_60.png,,21,185,77,FC Bayern München,59000,104400000,LB,Left,Canada,https://cdn.sofifa.net/flags/ca.png,LW,19,High,Low,94,66,77,60
F. Tomori,Fikayo Tomori,84,,60500000,CB,CB,England,https://cdn.sofifa.net/players/232/756/23_60.png,,24,185,79,AC Milan,75000,115000000,CB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,86,40,60,27
B. Saka,Bukayo Saka,82,,60500000,"RM,LM",LM,England,https://cdn.sofifa.net/players/246/669/23_60.png,,20,178,65,Arsenal,76000,127100000,RM,Left,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,11,High,Medium,84,74,78,70
N. Süle,Niklas Süle,85,,59000000,"CB,RB",CB,Germany,https://cdn.sofifa.net/players/212/190/23_60.png,,26,195,99,Borussia Dortmund,72000,104700000,SUB,Right,Germany,https://cdn.sofifa.net/flags/de.png,CB,15,Medium,Medium,71,48,66,32
S. Gnabry,Serge Gnabry,85,,59000000,RM,RM,Germany,https://cdn.sofifa.net/players/206/113/23_60.png,,26,176,77,FC Bayern München,100000,97400000,SUB,Right,Germany,https://cdn.sofifa.net/flags/de.png,SUB,10,High,Medium,82,84,79,68
M. Brozović,Marcelo Brozović,86,,58000000,"CDM,CM",CDM,Croatia,https://cdn.sofifa.net/players/216/352/23_60.png,,29,181,68,Inter,110000,95700000,CDM,Right,Croatia,https://cdn.sofifa.net/flags/hr.png,CDM,11,Medium,Medium,69,74,81,69
V. Osimhen,Victor Osimhen,83,,58000000,ST,ST,Nigeria,https://cdn.sofifa.net/players/232/293/23_60.png,,23,185,78,Napoli,72000,110200000,SUB,Right,-,-,-,-,High,Medium,90,82,65,75
J. Koundé,Jules Koundé,84,,57500000,"CB,RB",CB,France,https://cdn.sofifa.net/players/241/486/23_60.png,,23,181,75,FC Barcelona,150000,122200000,RB,Right,France,https://cdn.sofifa.net/flags/fr.png,SUB,5,High,High,84,45,64,43
Éder Militão,Éder Gabriel Militão,84,,57500000,CB,CB,Brazil,https://cdn.sofifa.net/players/240/130/23_60.png,,24,186,78,Real Madrid CF,160000,122200000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,86,50,70,60
M. Mount,Mason Mount,84,,57500000,"CAM,RW",CAM,England,https://cdn.sofifa.net/players/233/064/23_60.png,,23,180,74,Chelsea,130000,110700000,RW,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,CAM,19,High,High,74,81,85,69
R. James,Reece James,84,,57000000,"RWB,RB",RWB,England,https://cdn.sofifa.net/players/238/074/23_60.png,,22,178,87,Chelsea,120000,109700000,RWB,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,3,High,Medium,81,70,82,52
R. Mahrez,Riyad Mahrez,86,,56500000,"RW,RM",RW,Algeria,https://cdn.sofifa.net/players/204/485/23_60.png,,31,179,67,Manchester City,220000,104500000,SUB,Left,-,-,-,-,Medium,Medium,80,83,81,80
L. Díaz,Luis Díaz,84,,56000000,"LW,LM",RM,Colombia,https://cdn.sofifa.net/players/241/084/23_60.png,,25,180,73,Liverpool,155000,107800000,LW,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium,91,80,75,63
Thiago,Thiago Alcântara,86,,55500000,CM,CM,Spain,https://cdn.sofifa.net/players/189/509/23_60.png,,31,174,70,Liverpool,180000,102700000,CM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,61,72,87,75
D. Alaba,David Alaba,86,,55500000,CB,CB,Austria,https://cdn.sofifa.net/players/197/445/23_60.png,,30,180,78,Real Madrid CF,220000,113800000,CB,Left,Austria,https://cdn.sofifa.net/flags/at.png,LB,8,Medium,Medium,79,71,83,79
J. Musiala,Jamal Musiala,81,,55500000,"CM,LM,CAM",CAM,Germany,https://cdn.sofifa.net/players/256/790/23_60.png,,19,183,70,FC Bayern München,39000,102700000,SUB,Right,Germany,https://cdn.sofifa.net/flags/de.png,SUB,14,Medium,Medium,76,73,75,51
C. Immobile,Ciro Immobile,86,,55000000,ST,ST,Italy,https://cdn.sofifa.net/players/192/387/23_60.png,,32,185,85,Lazio,100000,93500000,ST,Right,Italy,https://cdn.sofifa.net/flags/it.png,ST,17,High,Medium,85,87,68,88
M. Depay,Memphis Depay,85,,55000000,"CF,ST,LW",CF,Netherlands,https://cdn.sofifa.net/players/202/556/23_60.png,,28,176,78,FC Barcelona,230000,112800000,SUB,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,ST,10,High,Low,83,84,82,76
L. Pellegrini,Lorenzo Pellegrini,84,,55000000,"CAM,CM",CAM,Italy,https://cdn.sofifa.net/players/228/251/23_60.png,,26,186,77,Roma,95000,97600000,CM,Right,Italy,https://cdn.sofifa.net/flags/it.png,SUB,7,High,High,79,77,83,82
K. Koulibaly,Kalidou Koulibaly,87,,54500000,CB,CB,Senegal,https://cdn.sofifa.net/players/201/024/23_60.png,,31,187,89,Chelsea,175000,100800000,CB,Right,-,-,-,-,Medium,High,82,33,59,33
N. Fekir,Nabil Fekir,85,,54500000,CAM,CAM,France,https://cdn.sofifa.net/players/216/594/23_60.png,,28,173,75,Real Betis Balompié,48000,114500000,CAM,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,83,82,82,74
Y. Carrasco,Yannick Carrasco,85,,54500000,LM,LM,Belgium,https://cdn.sofifa.net/players/208/418/23_60.png,,28,181,73,Atlético de Madrid,90000,111700000,LM,Right,Belgium,https://cdn.sofifa.net/flags/be.png,LM,11,High,High,89,82,80,81
L. Messi,Lionel Messi,91,Best Player,120757000,RW,CAM,Argentina,https://cdn.sofifa.net/players/158/023/23_60.png,https://cdn.britannica.com/35/238335-050-2CB2EB8A/Lionel-Messi-Argentina-Netherlands-World-Cup-Qatar-2022.jpg?w=400&h=300&c=crop,35,169,67,Paris Saint-Germain,41000000,99900000,RW,Left,Argentina,https://cdn.sofifa.net/flags/ar.png,RW,10,Low,Low,81,89,90,75
A. Hakimi,Achraf Hakimi,84,,53500000,"RB,RWB",RB,Morocco,https://cdn.sofifa.net/players/235/212/23_60.png,,23,181,73,Paris Saint-Germain,90000,103000000,RWB,Right,Morocco,https://cdn.sofifa.net/flags/ma.png,RB,2,High,Medium,92,75,79,60
Gerard Moreno,Gerard Moreno Balagueró,85,,53000000,ST,ST,Spain,https://cdn.sofifa.net/players/208/093/23_60.png,,30,180,77,Villarreal CF,64000,111300000,ST,Left,Spain,https://cdn.sofifa.net/flags/es.png,SUB,9,High,Medium,78,86,77,85
F. Kostić,Filip Kostić,85,,53000000,"LM,LWB",LM,Serbia,https://cdn.sofifa.net/players/208/574/23_60.png,,29,184,84,Juventus,165000,90100000,LW,Left,-,-,-,-,High,High,84,78,82,66
Oyarzabal,Mikel Oyarzabal Ugarte,84,,53000000,"LW,RW",LW,Spain,https://cdn.sofifa.net/players/230/142/23_60.png,,25,181,79,Real Sociedad,57000,115300000,SUB,Left,Spain,https://cdn.sofifa.net/flags/es.png,LW,21,High,Medium,79,83,80,84
Carlos Soler,Carlos Soler Barragán,83,,53000000,"CM,RM,CDM",CM,Spain,https://cdn.sofifa.net/players/234/153/23_60.png,,25,180,76,Paris Saint-Germain,100000,102000000,SUB,Right,Spain,https://cdn.sofifa.net/flags/es.png,SUB,17,Medium,Medium,80,77,83,86
N. Zaniolo,Nicolò Zaniolo,81,,53000000,"CF,RW,RM",CAM,Italy,https://cdn.sofifa.net/players/238/067/23_60.png,,22,190,75,Roma,71000,100700000,LF,Left,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium,87,75,72,60
J. Gvardiol,Joško Gvardiol,81,,53000000,"CB,LB",CB,Croatia,https://cdn.sofifa.net/players/251/517/23_60.png,,20,185,80,RB Leipzig,41000,100700000,CB,Left,Croatia,https://cdn.sofifa.net/flags/hr.png,CB,20,High,High,82,54,69,61
P. Pogba,Paul Pogba,85,,52500000,"CM,CDM,LM",CM,France,https://cdn.sofifa.net/players/195/864/23_60.png,,29,191,84,Juventus,165000,89300000,SUB,Right,France,https://cdn.sofifa.net/flags/fr.png,CDM,6,Medium,Low,67,80,85,80
Y. Tielemans,Youri Tielemans,84,,52500000,"CM,CDM",CM,Belgium,https://cdn.sofifa.net/players/216/393/23_60.png,,25,176,72,Leicester City,115000,103700000,CM,Right,Belgium,https://cdn.sofifa.net/flags/be.png,CM,8,Medium,Medium,56,80,86,77
Rodrygo,Rodrygo Silva de Goes,81,,52500000,"RW,LW",RM,Brazil,https://cdn.sofifa.net/players/243/812/23_60.png,,21,174,64,Real Madrid CF,130000,118100000,RW,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,88,76,74,74
